Start,License Number,Expdttm,Issdttm,Company,Inactive,Inactive Date
09/01/2013,376888,,09/04/2013,SN PROPERTIES LLC,N,
09/05/2013,376890,,09/05/2013,POWERSECURE INC,N,
09/01/2013,376448,,07/15/2013,COLIN JORDAN,N,
07/15/2013,376451,,07/15/2013,READING BUCKET SERVICES LLC,N,
09/01/2013,376452,,07/15/2013,OFFICIAL FOOT GEAR LLC,N,
07/17/2013,376467,11/12/2014,07/17/2013,SETLOCK METRO TAXI,Y,11/12/2014
07/17/2013,376473,02/06/2014,07/17/2013,INSTALL AMERICA LLC,Y,02/06/2014
07/17/2013,376474,,07/17/2013,SHINGLE SHINERS LLC,N,
07/17/2013,376477,,07/17/2013,OMAR CORNIELLE,N,
07/18/2013,376488,02/05/2014,07/18/2013,MAGG ENTERPRISES,Y,02/05/2014
07/25/2013,376499,,07/22/2013,JEB CONSTRUCTION,N,
07/15/2013,376500,,07/22/2013,LANDMARK PROPERTY SOLUTIONS,N,
07/26/2013,376502,,07/22/2013,UNITED LAUNDRY MAT LLC,N,
07/26/2013,377243,,,UNITED LAUNDRY MAT LLC,N,
07/01/2013,376548,11/10/2014,07/24/2013,OBIE CLEANING SERVICES INC,N,
08/15/2013,376559,,07/25/2013,LINBOB LLC DBA SIGN A RAMA,N,
07/01/2013,376560,,07/25/2013,LUZ SALINAS,N,
08/01/2013,376487,,07/18/2013,RED CITY MIX,N,
07/19/2013,376493,,07/19/2013,MONEY PLUS XPRESS CORP,N,
07/19/2013,376495,11/12/2014,07/19/2013,D & I CONCESSIONS,Y,11/12/2014
08/01/2013,376496,,07/19/2013,UPTOWN LIMOUSINE & CAR SERVICE,N,
01/01/2013,376497,,07/19/2013,SIMON KASSAS,N,
07/17/2013,376701,,,AYLEN & JINELY GROCERY,N,
07/17/2013,376531,,07/23/2013,AYLEN & JINELY GROCERY,N,
08/12/2013,376532,,07/23/2013,FILPO'S,N,
07/25/2012,376557,,07/25/2013,RC TOWING,N,
02/24/2004,327606,,02/24/2004,ESCALERA EFRAIN,N,
02/24/2004,327607,07/01/2004,02/24/2004,ANATALIO GERONIMO,N,
02/24/2004,327232,,02/24/2004,VASQUEZ ANTONIO,Y,06/22/2007
02/24/2004,96577,07/01/2004,02/24/2004,STEPHAN SUSAN L,Y,10/17/2006
02/25/2004,327311,,02/25/2004,GORDIAN MARIO,Y,08/13/2007
02/25/2004,327226,07/01/2007,07/11/2006,LY TRUNG T,Y,07/11/2006
02/26/2004,327608,07/01/2004,02/26/2004,RAMOS JORGE LUIS,Y,10/23/2006
03/04/2004,327633,07/01/2004,03/04/2004,GALVEZ ANAISA,N,
08/16/2004,327637,12/31/2004,03/22/2004,LIL ORBIT,Y,10/13/2006
02/22/2004,327638,05/16/2006,03/04/2004,CARLOS E VIDAL JR,Y,08/24/2006
01/01/2004,327650,,,ABC TEMPS INC,Y,11/19/2013
06/11/2003,327651,06/20/2014,03/05/2004,CLAUDETTE WASHIGTON,Y,06/20/2014
02/25/2004,327652,01/01/2005,03/05/2004,J & H ROOFING & SIDINGS,Y,11/28/2012
02/01/2004,327653,12/31/2009,03/22/2004,NELSON & WILSON TIRES,N,
03/15/2004,327655,01/01/2005,03/05/2004,ALPHA MULTI SERVICES,Y,10/16/2006
03/03/2004,327656,,03/05/2004,RUSSELL'S MASONRY,N,
06/24/2003,327657,01/01/2005,03/05/2004,INTERNATIONAL RESTAURANT,Y,11/03/2006
01/03/2003,327658,12/31/2006,03/05/2004,DAWN & HAROLD HARTENSTINE,Y,01/09/2007
02/17/2004,327659,01/01/2005,03/22/2004,KC CONSTRUCTION CO,Y,05/10/2013
01/01/2003,327630,01/01/2005,03/05/2004,EDDIE AYALA,Y,01/04/2005
03/08/2004,327666,,,QUINTERO JOSE,N,
03/12/2004,327682,07/01/2004,03/12/2004,QUINTERO JOHN M,N,
03/15/2004,327684,07/01/2004,03/15/2004,RODRIGUEZ MELVIN R,N,
03/16/2004,327693,,03/16/2004,MILAGROS MORALES,N,
03/20/2004,327699,,03/18/2004,DUSTIN SEIDEL CUSTOMS,N,
03/01/2004,327702,,03/18/2004,JOSE HERNANDEZ,N,
01/01/2004,327703,11/09/2011,03/18/2004,QUINONES J NOTARY,N,
03/09/2004,327704,01/01/2005,03/25/2004,DVS CLEANING,Y,11/28/2012
03/08/2004,327708,12/31/2006,03/19/2004,BEAUTY & STYLE,Y,03/10/2008
03/16/2004,327709,01/01/2005,03/19/2004,VENDORS ON WHEELS,Y,11/28/2012
01/02/2004,327639,01/01/2005,03/04/2004,AB CLEANING,Y,08/24/2012
01/02/2004,327640,01/01/2005,03/22/2004,BAGENSTOSE READING METRO,Y,09/29/2005
02/23/2004,327641,11/07/2011,03/04/2004,LAMBERT READING METRO TAXI,Y,11/07/2011
07/10/2003,327642,01/01/2005,03/04/2004,JOSEPH & PATRICE COLLINS,Y,09/22/2008
02/26/2004,327643,01/01/2005,03/04/2004,RAMOS METRO TAXI,N,
09/01/2003,327644,12/31/2005,03/04/2004,SANABIA & RAMONA VASQUEZ,Y,08/24/2006
11/01/2003,327645,01/01/2005,03/04/2004,SAHRON K /BONNIE HAMMOND,N,
03/08/2004,327646,01/01/2005,03/04/2004,EL KIOSKO,Y,10/23/2006
03/31/2004,327647,01/01/2005,03/22/2004,ECISERVICE LLC,N,
04/28/2004,AC336398,,,SCHALL DONNA M,Y,05/04/2005
04/29/2004,306940,,11/20/2003,SIERRA JACKELINE,N,
04/17/2004,327996,,,DIANA ALTHOUSE,Y,11/19/2013
05/03/2004,327997,,,ELASTOMERIC ROOFING SYSTEMS IN,Y,08/23/2006
02/12/2004,327998,12/31/2007,,FORCED FLOW UTILITY CONSTRUCTI,Y,09/17/2008
05/01/2004,328013,,05/17/2004,MARIE'S ICY,N,
05/04/2004,328035,,05/26/2004,WILL'S HOT DOGS,N,
05/04/2004,341902,12/31/2008,05/15/2007,WILL'S HOT DOGS,Y,02/20/2014
06/01/2004,328036,01/01/2005,05/17/2004,ALEXIS VARIETY,Y,10/16/2006
05/04/2004,328037,06/01/2004,05/17/2004,JESUS GONZALEZ CORNEJO,Y,02/03/2010
01/01/2004,328038,01/01/2005,05/17/2004,HAROLD M FELTY,Y,02/06/2007
12/01/2003,328042,,05/18/2004,JOSH FLOOR COVERING,N,
01/01/2004,328044,10/29/2014,05/18/2004,LILY'S BAR RESTAURANT,N,
05/01/2003,328045,12/31/2006,05/18/2004,LINDA SOTO COUNSELOR,Y,01/09/2007
05/01/2004,328047,08/23/2012,05/18/2004,ANGEL CANELA,Y,08/23/2012
05/05/2004,328048,,05/18/2004,CREATIVE KIDS INC,N,
05/01/2004,328049,01/01/2005,05/26/2004,CHOICE WINDOWS DOORS & MORE,Y,01/09/2007
05/10/2004,328050,01/01/2005,06/15/2004,CAROLINA RESTAURANT,Y,11/01/2006
03/01/2004,328053,,05/18/2004,THE HAIR PLACE I,N,
03/01/2004,328054,,05/26/2004,THE HAIR PLACE II,N,
03/01/2004,328055,,05/26/2004,THE HAIR PALCE III,N,
09/01/2003,328056,12/31/2007,05/26/2004,SYNAPSE SOLUTIONS LLC,Y,10/16/2007
05/12/2004,328057,05/15/2004,05/18/2004,KEYSTONE LANDSCAPING,N,
05/28/2004,328058,11/07/2011,05/18/2004,SCOTT'S GENERAL CONTRACTING,Y,11/07/2011
05/12/2004,328059,,05/18/2004,E & E PAINTING,N,
10/14/2007,351231,,10/05/2007,KRISHNA BIRBAL,N,
02/15/2013,375008,,02/13/2013,JOHN P RAGSDALE,N,
02/13/2013,375012,05/15/2013,02/13/2013,PENN FLOWERS,Y,08/09/2013
02/01/2013,375013,,02/13/2013,URBAN SUPERIOR COMPANY,N,
02/01/2013,375014,,02/13/2013,"UISTI HOLDINGS, LLC",N,
03/01/2013,375017,,02/14/2013,D KARINA DELI GROCERY,N,
02/15/2013,375020,,02/15/2013,BLANKENBILLER ELECTRICAL SERV,N,
03/01/2013,375022,,02/15/2013,DENNIS DOMINGUEZ,N,
02/19/2013,375026,,02/19/2013,DETAILED CUTS BARBER SHOP,N,
02/19/2013,375028,,02/19/2013,DEJESUS CONSTRUCTION,N,
10/01/2012,375029,,02/19/2013,URWASHI BHUTANI,N,
04/01/2013,375051,,02/21/2013,TRACY LYNN MCGARVEY,N,
01/18/2013,374626,,01/11/2013,"SNYDERS PLUMBING, INC",N,
01/01/2013,374623,,01/11/2013,5TH ST AUTO LLC,N,
05/31/2012,374624,,01/11/2013,625 CAR WASH INC,N,
01/15/2013,374615,,01/10/2013,USMAN RIZA SHEIKH,N,
10/01/2012,374616,,01/10/2013,THE MEDICINE SHOPPE PHARMACY,N,
01/01/2013,374617,12/05/2014,01/10/2013,ANTONIA PEREZ,Y,12/05/2014
10/01/2010,365191,,09/20/2011,ALBERT AND SONS AUTO SALES,N,
07/24/2010,364637,08/27/2011,02/11/2011,VILLALBA SUBS,Y,08/27/2011
07/28/2010,364745,,01/11/2011,LAUREL GROCERY STORE,N,
01/08/2013,374598,,01/08/2013,POLANCO CORP LLC,N,
01/01/2010,374609,,01/09/2013,C J ROOTER INC,N,
,374587,,01/07/2013,THE CHILDREN'S JOURNEY,N,
12/07/2012,374592,,01/07/2013,"HP ASSET MANAGEMENT GROUP, LLC",N,
02/01/2013,374599,,01/08/2013,ENIK INC,N,
02/01/2013,374602,02/04/2014,01/08/2013,MORAIMA REYES MUNIZ,Y,02/04/2014
02/01/2013,377848,,,MOM SAID NO! TATTOO & PIERCING,N,
02/01/2013,374610,08/30/2013,01/09/2013,MOM SAID NO! TATTOO & PIERCING,Y,08/30/2013
01/03/2013,374549,,01/03/2013,MDL PROPERTIES LLC,N,
01/04/2013,374553,,01/04/2013,"GEORGE A KINT, INC.",N,
01/01/2013,374554,,01/04/2013,MARIO AREVALO,N,
01/01/2013,374555,,01/04/2013,BETSY'S BACKYARD BIRDS LLC,N,
12/01/2012,374558,,01/04/2013,LUIS TAVAREZ,N,
03/07/2012,374563,,01/04/2013,"525 LANCASTER AVE APTS, LP",N,
01/03/2013,374547,,01/03/2013,PERFUMERIA CHEFI,N,
01/03/2013,374548,,01/03/2013,HORTENCIA ZAMUDIO,N,
10/23/2004,330469,11/14/2011,11/01/2004,FLORAL FANTASY,Y,10/28/2013
10/22/2004,330472,11/07/2011,11/01/2004,CONFESOR & RAQUEL RUIZ,Y,10/28/2013
01/15/2013,374523,,12/27/2012,MERCEDES N DAVIS,N,
10/22/2012,374527,,12/28/2012,MARINELLY TAVERAS/OMAR SILVERI,Y,02/22/2013
06/25/2012,374528,,12/28/2012,WITMOYERS AUTOMOTIVE,N,
01/01/2013,374530,,12/28/2012,NICOLAS & IRMA ALMARAZ,N,
05/13/2013,374492,,12/26/2012,GRILL THEN CHILL BAR & LOUNGE,N,
05/13/2013,375869,,,GRILL THEN CHILL BAR & LOUNGE,N,
10/01/2012,374487,,12/24/2012,NICHOLAS HOWER,N,
01/01/2013,374488,,12/24/2012,S&D MANAGEMENT COMPANY,N,
01/01/2013,374489,,12/24/2012,ORQUIDIA LUNA,N,
01/01/2010,374490,,12/26/2012,WEIDNER & THE ENERGY SAVERS,N,
01/01/2013,374524,,12/27/2012,H & H SYSTEMS INC,N,
10/01/2012,374525,,12/27/2012,SURIEL ESTRELLA GROCERY,N,
08/25/2012,374458,,12/18/2012,SENDA TIRE CENTER LLC,N,
01/01/2012,374461,,12/18/2012,KEYSTONE HEATING & COOLING,N,
03/01/2013,374481,07/11/2013,12/21/2012,DAHYANA GRULLON,Y,07/11/2013
12/27/2012,374483,,12/21/2012,MANZELLA CONSTRUCTION,N,
12/13/2012,374484,,12/21/2012,DARYL WILSON,N,
12/01/2012,374485,,12/21/2012,FELIX ECHEVARRIA,N,
12/17/2012,374447,,12/17/2012,M L CONSTRUCTION,N,
11/30/2012,374451,,12/17/2012,ARQUIMEDES NUVIOLA,N,
01/01/2013,374452,,12/17/2012,L CHEVALIER PROPERTIES LLC,N,
10/01/2012,374455,,12/17/2012,EMANUEL DELGADO,N,
12/19/2012,374457,,12/18/2012,AGUSTA CONSTRUCTION,N,
01/01/2013,374469,,12/19/2012,DANIEL D ZOOK,N,
12/16/2012,374470,06/24/2014,12/19/2012,DPL REMODELING,Y,06/24/2014
12/20/2012,374473,,12/19/2012,BURG RESTORATION SVCS LLC,N,
01/01/2008,354892,12/19/2012,12/19/2012,MARIO ARMENGOT,Y,12/19/2012
08/25/2007,350776,01/01/2013,12/19/2012,ANTONJITOS VERACRUZANOS,Y,12/19/2012
07/31/2007,350882,01/01/2013,12/19/2012,THE HOT DOG STOP,Y,12/19/2012
12/20/2012,374475,,12/20/2012,PENA CONSTRUCTION CO,N,
01/01/2006,352388,06/16/2014,12/21/2012,JOSE CRUZ,N,
08/01/2008,356034,01/01/2013,12/19/2012,NORBERTO PEREZ,Y,12/20/2012
01/30/2012,374477,11/05/2014,12/20/2012,AMERICON BUILDERS INC,Y,11/05/2014
10/15/2008,357113,,12/19/2012,CARLOS DE LOS SANTOS,N,
01/01/2013,374439,,12/13/2012,CARLOS GARCIA,N,
01/01/2009,374440,,12/13/2012,MESSINA PLUMBING,N,
07/01/2012,374441,,12/13/2012,DENNIS MULLARKEY,N,
02/17/2011,374425,,12/12/2012,THE ANDROMEDA GROUP,N,
01/01/2012,374380,,12/10/2012,TU SABOR MARITZA RESTAURANT,N,
01/01/2013,374383,,12/10/2012,MARIA SEVERINO,N,
10/01/2012,374398,,12/10/2012,RAFAEL VELASCO,N,
02/01/2013,374403,,12/11/2012,JOSE MIGUEL PENA,N,
01/02/2013,374412,,12/11/2012,WHITE OAK INVESTMENTS LLC,N,
05/01/2010,368359,01/10/2013,10/01/2012,ADAM STAMM,Y,01/10/2013
12/03/2012,374377,,12/10/2012,MJ & S CO LLC,N,
06/01/2012,374384,,12/10/2012,NADIA MURET,N,
02/01/2012,374397,,12/10/2012,CHRISTINA STEVENSON,N,
11/01/2012,374437,,12/13/2012,ELIAS SIUTTO,N,
05/08/2012,374443,10/28/2014,12/14/2012,KANE DETECTIVE AGENCY,Y,10/28/2014
01/15/2013,374444,,12/14/2012,SHAULER LLC,N,
06/08/2006,342021,01/01/2007,06/02/2006,C & C CONCESSIONS,Y,12/03/2012
12/03/2012,374300,,12/03/2012,GUTIERREZ BROTHERS CONSTRUCTIO,N,
12/03/2012,374306,,12/03/2012,KINGS BARBERSHOP,N,
01/02/2006,339844,01/01/2007,02/22/2006,GENERAL HOME SOLUTION,Y,12/03/2012
12/04/2012,374309,,12/04/2012,D H ELECTRICAL,N,
12/10/2012,374334,,12/04/2012,"A YERGER, INC",N,
12/04/2012,374337,,12/04/2012,"BILL GILLESPIE ELECTRIC, INC",N,
05/01/2012,374360,12/31/2013,12/06/2012,JORGE LAPORTE,Y,03/04/2014
11/21/2012,374364,,12/06/2012,U R PROPERTIES LLC,N,
12/06/2012,374365,03/22/2013,12/06/2012,LUIS CASTILLO,Y,03/22/2013
11/01/2012,374367,,12/07/2012,HASON TRAN,N,
12/10/2012,374369,,12/07/2012,"JCA ROOFING & REMODELING, LLC",N,
06/02/2010,364286,,09/15/2011,LA ESQUINE FAMOSA DELI & GROCE,Y,12/03/2012
05/18/2004,328064,01/01/2005,05/18/2004,HANSEL'S SANDWICH SHACK,Y,10/16/2006
05/14/2004,328068,01/01/2005,05/18/2004,RICAHRD MAYO,Y,11/04/2013
06/04/2004,328070,10/27/2005,05/18/2004,THANH HONG ASIAN AMERICAN FOOD,Y,10/28/2013
06/04/2004,A4403000,12/31/2005,01/01/1995,THANH HONG ASIAN AMERICAN FOOD,Y,12/06/2006
05/17/2004,328071,01/01/2005,05/26/2004,JULIO LEON,Y,10/28/2013
04/22/2004,328072,01/01/2005,05/18/2004,JAMIE LANTZ ELECTRIC,Y,02/01/2012
08/01/2003,328075,12/31/2005,05/18/2004,BARRY C C LLOYD,Y,08/25/2006
05/25/2004,328164,07/09/2013,07/11/2006,RICHARD MAYO,N,
05/25/2004,328173,,,HECKROTE STACY LYNN,Y,08/25/2005
04/01/2004,328174,01/01/2005,05/27/2004,SCOTT CANOUSE PHOTOGRAPHY,Y,11/30/2012
06/05/2004,328178,01/01/2005,06/07/2004,L&M CARIBBEAN CUISINE/RESTAURA,Y,11/03/2006
01/01/2001,328180,,05/27/2004,CLEAR CHANNEL BROADCASTING INC,N,
01/01/1997,328181,,05/27/2004,DON HART AUTOMOTIVE,N,
06/04/2004,327886,07/01/2007,07/11/2006,MARTIN DAVID,N,
06/01/2004,328228,,,COCERA CONSTRUCTION,Y,10/24/2006
01/29/2004,328229,07/31/2006,,EDWARD DUDANOWICZ,Y,01/03/2007
01/29/2004,328230,,,FERN DUDANOWICZ,Y,02/21/2007
02/12/2004,328231,,,ROSA ALVARADO,Y,11/19/2013
01/01/2004,328232,,,MARIA CONTRERAS,Y,11/19/2013
01/01/2004,328235,,,JESSIE MCCRIMMON,Y,11/19/2013
01/29/2004,328236,,,WILLIAM PFLUGFELDER,Y,10/13/2006
01/15/2004,328237,,,ELWOOD SCHEAFFER,Y,11/19/2013
03/25/2004,328238,,,ELIANE  C SNEAD,Y,11/19/2013
02/12/2004,328239,,,ANNA TAYLOR,Y,10/24/2006
01/01/2004,328240,,,SARAH TORRES,Y,11/08/2004
06/01/2004,328243,12/31/2008,06/07/2004,BORINQUEN GROCERY STORE,Y,10/28/2013
06/01/2004,A3601120,12/31/2005,01/01/2004,BORINQUEN GROCERY STORE,Y,05/19/2008
05/30/2004,328244,12/31/2004,06/07/2004,TROPICAL MARKET,Y,10/18/2005
05/30/2004,54807300,12/31/2005,01/01/1999,TROPICAL MARKET,Y,05/30/2006
08/01/2004,328245,12/31/2006,06/07/2004,GLOBELLA INC,Y,01/18/2007
08/01/2002,328246,10/02/2006,06/07/2004,GLORIA REID,Y,10/28/2013
06/02/2004,328247,01/01/2005,06/11/2004,CARMELLA'S SERVICES,N,
07/01/2004,328248,,06/07/2004,TROPICAL OIL LLC,N,
06/02/2004,328249,12/31/2004,06/11/2004,THEE WEDDING PROVIDER,Y,10/28/2013
06/04/2004,328250,11/03/2011,06/11/2004,PUMPERNICKELS,Y,10/28/2013
06/01/2004,328251,01/01/2005,06/07/2004,LE PETITE PHARMACIE INC,N,
05/28/2004,328116,,,HAMMES COMPANY LLC,Y,11/19/2013
05/27/2004,328175,07/01/2007,07/11/2006,CHEN KE XIANG,N,
05/27/2004,38215,07/28/2009,10/04/2003,KARPOWITZ DORIS R,Y,07/12/2010
05/27/2004,328176,07/01/2007,07/11/2006,RAMOS LUIS GERARDO,N,
05/25/2004,328183,02/28/2007,05/28/2004,MY FAMILY GROCERY STORE,Y,06/01/2007
05/25/2004,A3607390,12/31/2006,01/01/2003,MY FAMILY GROCERY STORE,Y,03/01/2007
05/25/2004,346679,12/31/2007,03/05/2007,MY FAMILY GROCERY STORE,Y,10/20/2008
06/01/2004,328184,,05/28/2004,MICHAEL & VEDA MASON,N,
09/01/2003,328185,01/01/2005,05/28/2004,MARIA A MORENO,Y,11/29/2012
05/15/2004,328186,,05/28/2004,BREYER CONST & LANDSCP LLC,N,
05/24/2004,328187,12/31/2006,05/28/2004,CONNIE ARCHEY SMALL BUS FINANC,Y,02/06/2007
05/24/2004,328189,09/01/2004,05/28/2004,P & R HOME REMODELING,Y,04/26/2005
12/12/2000,328190,,05/28/2004,LUZ ESTELLA ROBLES FAMILY DAY,N,
05/25/2004,328193,06/05/2004,05/28/2004,DAVID LOPEZ,N,
05/26/2004,328194,10/20/2008,05/28/2004,KEVIN KLINE CONSTRUCTION,Y,10/21/2013
01/23/2004,328195,,,BALL PACKAGING CO,Y,11/19/2013
02/11/2004,328196,,05/28/2004,CHAN LONG RESTAURANT,Y,10/28/2013
05/20/2004,328197,11/09/2011,06/11/2004,A PLUS ORIENTAL RUG,N,
06/05/2004,328198,01/01/2005,05/28/2004,LUIGI'S ICY,Y,11/28/2012
05/17/2004,328199,05/03/2004,05/28/2004,LA MORELIANA,Y,01/04/2005
05/27/2004,328200,01/01/2005,05/28/2004,ANGEL VAZQUEZ CONTRACTING,Y,08/15/2012
07/01/2003,328201,,05/28/2004,STANLEY L STOUDT,Y,11/29/2012
01/01/2003,328202,,05/28/2004,GENTLE DENTAL READING LLC,N,
06/01/2004,328203,06/01/2005,05/28/2004,D & D COMMUNICATION,Y,11/03/2005
06/03/2004,328226,07/11/2013,07/11/2006,MAST ROGER DALE,N,
06/15/2004,328351,01/01/2005,06/16/2004,MARIA PEREZ,N,
06/12/2004,350879,12/31/2007,09/06/2007,LA HACIENDA,Y,05/07/2012
06/12/2004,328353,,06/16/2004,LA HACIENDA,Y,10/28/2013
06/12/2004,A3603520,12/31/2006,01/01/1991,LA HACIENDA,Y,08/30/2007
07/01/2004,328354,11/09/2011,06/16/2004,MTS AUTO CLINIC,N,
08/01/2003,328356,12/31/2007,06/16/2004,KASEY WEIST CONSTRUCTION CO,Y,10/21/2013
07/05/2004,328357,01/01/2005,06/16/2004,PROGRESO GROCERY,Y,10/28/2013
06/22/2004,73743,,10/04/2003,PHAM LINH DAY,N,
06/03/2004,328252,,06/07/2004,JOSE J NUNEZ ARELLANO,N,
06/04/2004,328253,,06/07/2004,MARITZA'S NOTARY,N,
07/07/2004,328254,03/30/2006,06/07/2004,ROSA'S CLASSIC SALON,Y,07/28/2006
06/10/2004,328255,01/01/2005,06/07/2004,MILY'S HOT DOGS,Y,10/24/2006
06/08/2004,328263,07/01/2007,07/11/2006,DUNKLEBERGER STELLA J,Y,06/29/2011
06/08/2004,328264,07/01/2007,07/11/2006,HILL CHARLENE H,N,
06/08/2004,18449817,,,HILL CHARLENE H,Y,08/02/2004
04/01/2004,328330,,,F SCHUMACHER & CO,Y,04/22/2008
06/08/2004,328332,01/01/2005,06/15/2004,CASHING IN,Y,10/21/2004
05/19/2003,328333,12/30/2004,06/15/2004,JULIE ANN BASKERVILLE,Y,08/23/2006
06/07/2004,328334,,06/15/2004,LIBERTY ENVIRONMENTAL INC,N,
05/01/2004,328337,01/01/2005,06/15/2004,CIELITO LINDO,Y,10/28/2013
06/18/2004,328338,07/01/2004,06/15/2004,CARIBBEAN CONTRACTOR,Y,12/05/2005
06/01/2004,328339,01/01/2005,06/15/2004,NEGRITA MARKET,Y,10/28/2013
06/01/2004,54810000,12/31/2005,01/01/1991,NEGRITA MARKET,Y,10/25/2006
06/15/2004,328340,05/08/2014,06/15/2004,QUE BELLA VISIONS,Y,05/08/2014
06/18/2004,328341,11/01/2004,06/15/2004,MONUMENTO RESTAURANT,Y,06/09/2005
06/18/2004,A0405520,12/31/2006,01/01/1991,MONUMENTO RESTAURANT,Y,02/01/2007
02/02/2004,328342,,06/15/2004,KEKK INC DBA ROCKALND BEER DIS,N,
06/16/2004,328408,06/16/2004,06/21/2004,PAUL RIVERA,Y,11/03/2005
01/01/2003,328409,01/18/2012,06/21/2004,RICHARD TOMLINSON,Y,01/18/2012
06/11/2004,328412,12/27/2012,06/21/2004,RAMIREZ GROCERY/RESTAURANT,Y,05/08/2013
01/01/2004,328424,,,ABM MID ATLANTIC INC,Y,11/19/2013
09/01/2003,328427,12/31/2005,06/22/2004,MADELINE LUDWIG,Y,07/24/2006
12/01/2003,328428,12/31/2006,06/22/2004,TIGGARS MAGICAL COMEDY ENT.,Y,07/23/2007
06/01/2003,328429,12/31/2004,06/22/2004,SHANNON M KORNBERGER,Y,09/22/2008
07/12/2004,328430,,07/01/2004,ROCKLAND PIZZA STEAKS SUBS,Y,10/24/2006
06/01/2004,328477,06/01/2004,06/23/2004,HIDALGO RECYCLING COMPANY,Y,11/29/2012
06/23/2004,328504,01/01/2005,07/01/2004,SUPER SERIVCE OLIVARES ICY,Y,04/11/2007
06/28/2004,328505,07/07/2004,06/24/2004,MARIA PEREZ,Y,10/27/2005
06/22/2004,328379,07/01/2007,07/11/2006,SNYDER MATTHEW A,N,
06/22/2004,34610,,10/04/2003,BLOCKER VANESSA LYNN,N,
06/22/2004,328457,07/01/2007,07/11/2006,BERRIOS DESMIN LEE,Y,07/11/2006
06/22/2004,32256,11/16/2009,10/04/2003,ADAMS MANDY LYNN,Y,07/09/2010
06/22/2004,33421,,10/04/2003,KLEMPED HEATHER CLAIRE,Y,04/16/2007
06/22/2004,65148,06/01/2009,10/04/2003,SAVATI ERIN LORRAITE,Y,10/12/2010
06/22/2004,62644,08/10/2011,10/04/2003,BANTA WALTER JAMES JR,Y,08/10/2011
06/23/2004,328465,01/01/2010,07/01/2004,T HASSLES PAINTING & REMODELIN,Y,10/29/2010
06/22/2004,53686,08/01/2009,10/04/2003,BRYSON MEGAN ANN,Y,07/07/2010
06/18/2004,328521,,,APPLIED OPTICAL TECH INC,Y,11/19/2013
06/29/2004,328523,07/01/2007,06/22/2007,OZAR RYAN,N,
06/29/2004,23345,05/15/2008,10/04/2003,RICHARDSON ELLEN ELIZABETH,Y,08/13/2010
01/01/2004,328665,01/01/2005,07/12/2004,SHORT'S STOVES CHIMNEYS& FIREP,Y,08/28/2006
04/01/2004,328666,01/01/2005,07/07/2004,GARDEN OF ANGELS ON PENN ST,Y,10/13/2006
03/01/2004,328691,01/01/2005,07/07/2004,ELVIN & MELISSA ORTIZ,N,
02/01/2003,328694,01/01/2005,07/07/2004,JOSE L MACIA,N,
11/01/2003,328697,08/16/2012,07/07/2004,HEIRLOOM TRANSPORT INC,Y,08/16/2012
06/01/2003,328704,,07/07/2004,ROBINS GRAPHIC & PRINT MGMT SR,N,
,344239,12/31/2006,10/13/2006,THE CHILDRENS HOME OF READING,N,
06/23/2004,45075,,10/04/2003,BONET JOSE LUIS,Y,10/22/2007
06/23/2004,28229,,10/04/2003,KRIPPLEBAUER SARA CHRISTINE,Y,07/11/2011
06/23/2004,16213,08/28/2009,10/04/2003,BOSSLER JESSICA LYN,Y,05/13/2014
06/23/2004,7847,,10/04/2003,DOMINGUEZ JHONNATAN O'HARA,N,
06/24/2004,327979,07/01/2007,07/11/2006,HELLER JR RANDALL JON,N,
06/22/2004,328502,,06/24/2004,ALL OCCASIONS CAKES,N,
06/22/2004,A5613120,12/31/2006,01/01/2004,ALL OCCASIONS CAKES,Y,04/09/2012
07/01/2004,328503,,06/24/2004,GOTHAM CITY TATTOO,N,
06/24/2004,2875,,10/04/2003,ALICEA ALFREDO,N,
06/30/2004,5673,,10/04/2003,FRIAS JOEL VENTURA,N,
06/30/2004,328003,07/01/2006,06/27/2006,ALVAREZ JAHEL,N,
06/30/2004,AC388320,07/01/2007,07/11/2006,ALVAREZ JAHEL,Y,06/10/2008
06/30/2004,12049,,10/04/2003,VO CHUOC B,N,
06/30/2004,328545,07/08/2012,07/11/2006,TORRES EVA MARIA,Y,09/10/2012
07/01/2004,17367,,10/04/2003,PAUL ALLISON M,N,
07/01/2004,21792,,10/04/2003,SCOTT ABBY BROOKE,N,
07/01/2004,85592,,10/04/2003,HANEY MARY,N,
07/01/2004,35448,,10/04/2003,GRAHAM SR FRANKIE LEE,N,
07/01/2004,72016,12/30/2010,10/04/2003,SMITH AMANDA JO,Y,08/25/2011
07/01/2004,328214,07/01/2007,07/11/2006,LAMP CINDY MAY,N,
07/01/2004,35834,08/12/2014,10/04/2003,MARTIN JESSICA CORRINE,Y,08/12/2014
07/01/2004,14038,,10/04/2003,HOLT CHRISTOPHER JAMES,N,
07/01/2004,1859,07/07/2012,10/04/2003,NGUYEN JERRY TRAN,Y,03/19/2013
07/01/2004,328560,,,WATERMAN SHARON A,N,
07/02/2004,328567,,,POKRYWA JOSHUA MICHAEL,N,
07/01/2004,29084,03/01/2010,10/04/2003,SEIDEL ALTHEA D,Y,07/06/2012
11/01/2002,328603,12/31/2005,07/12/2004,EMPRO HUMAN RESOURCES LLC,Y,04/05/2007
06/25/2004,328607,11/03/2011,07/12/2004,SKY TOP PROMOTIONS INC,Y,10/21/2013
