AccountNo,Account Description,Dollars,Budget Year,Budget Type
01-09-32-3623,False Fire Alarm Fee,-12000,2004,Actual
01-09-32-3636,Other Department Earnings,-20000,2004,Actual
01-09-32-3637,Certified Ambulance Group Rev,-3600,2004,Actual
01-09-32-3642,Fire Prevention Permits,-50000,2004,Actual
01-09-32-3777,Heart and Lung Reimbursement,-82100,2004,Actual
01-09-32-4000,Salaries,370444,2004,Actual
01-09-32-4001,Holiday Pay,18427,2004,Actual
01-09-32-4002,Longevity,17300,2004,Actual
01-09-32-4003,Uniform/Clothing Allowance,3000,2004,Actual
01-09-32-4006,Overtime,2500,2004,Actual
01-09-32-4202,Printing,3200,2004,Actual
01-09-32-4203,Rentals/Lease,18909,2004,Actual
01-09-32-4207,Fire Company Approp,13425,2004,Actual
01-09-32-4216,Contracted Services,0,2004,Actual
01-09-32-4218,MVA Billing Expense,1000,2004,Actual
01-09-32-4235,Fees,16863,2004,Actual
01-09-32-4307,Conferences/Training,1800,2004,Actual
01-09-32-4308,Subscriptions,1925,2004,Actual
01-09-32-4315,Physical Fitness,4268,2004,Actual
01-09-32-4317,Dues,180,2004,Actual
01-09-32-4402,Maintenance/Repair Equipment,10175,2004,Actual
01-09-32-4510,General Plant Supplies,11275,2004,Actual
01-09-32-4513,Chemical Supplies,0,2004,Actual
01-09-32-4522,Medical/Surgical Supplies,0,2004,Actual
01-09-32-4728,Explorer Post,0,2004,Actual
01-09-32-4739,Contingencies,0,2004,Actual
01-09-32-4802,Machinery and Equipment,2125,2004,Actual
01-09-32-4900,Fringe Benefits,85790,2004,Actual
01-09-32-4901,Pension,3485,2004,Actual
01-09-32-4913,Social Security,5362,2004,Actual
01-09-33-4000,Salaries,143523,2004,Actual
01-09-33-4001,Holiday Pay,7673,2004,Actual
01-09-33-4002,Longevity,6240,2004,Actual
01-09-33-4003,Uniform/Clothing Allowance,4250,2004,Actual
01-09-33-4006,Overtime,25000,2004,Actual
01-09-33-4208,Training,25000,2004,Actual
01-09-33-4231,Scuba Team,6745,2004,Actual
01-09-33-4307,Conferences/Training,2000,2004,Actual
01-09-33-4308,Subscriptions,1655,2004,Actual
01-09-33-4317,Dues,2400,2004,Actual
01-09-33-4510,General Plant Supplies,21600,2004,Actual
01-09-33-4740,Community Promotions,18000,2004,Actual
01-09-33-4802,Machinery and Equipment,3400,2004,Actual
01-09-33-4900,Fringe Benefits,33297,2004,Actual
01-09-34-4000,Salaries,5008766,2004,Actual
01-09-34-4001,Holiday Pay,241652,2004,Actual
01-09-34-4002,Longevity,136260,2004,Actual
01-09-34-4003,Uniform/Clothing Allowance,58000,2004,Actual
01-09-34-4006,Overtime,300000,2004,Actual
01-09-34-4216,Contracted Services,131000,2004,Actual
01-09-34-4238,Physicals,39900,2004,Actual
01-09-34-4402,Maintenance/Repair Equipment,93256,2004,Actual
01-09-34-4513,Chemical Supplies,17421,2004,Actual
01-09-34-4802,Machinery and Equipment,10000,2004,Actual
01-09-34-4900,Fringe Benefits,1187327,2004,Actual
01-09-34-4912,Disability Expenses,0,2004,Actual
01-09-34-4913,Social Security,66531,2004,Actual
01-10-17-4000,Salaries,168691,2004,Actual
01-10-17-4200,Advertising,6500,2004,Actual
01-10-17-4202,Printing,5400,2004,Actual
01-10-17-4216,Contracted Services,1035,2004,Actual
01-10-17-4235,Fees,7000,2004,Actual
01-10-17-4307,Conferences/Training,3000,2004,Actual
01-10-17-4308,Subscriptions,1500,2004,Actual
01-10-17-4317,Dues,0,2004,Actual
01-10-17-4509,Postage,100,2004,Actual
01-10-17-4510,General Plant Supplies,0,2004,Actual
01-10-17-4900,Fringe Benefits,39376,2004,Actual
01-10-17-4901,Pension,21816,2004,Actual
01-10-17-4913,Social Security,12984,2004,Actual
01-10-36-3277,Restitution,-41000,2004,Actual
01-10-36-3279,PMD Placard Removal Fees,-21000,2004,Actual
01-10-36-3281,Appeal Fees,-150,2004,Actual
01-10-36-3287,Graffiti Reimbursements,0,2004,Actual
01-10-36-4000,Salaries,710125,2004,Actual
01-10-36-4200,Advertising,7000,2004,Actual
01-10-36-4202,Printing,5500,2004,Actual
01-10-36-4216,Contracted Services,8985.81,2004,Actual
01-10-36-4235,Fees,0,2004,Actual
01-10-36-4307,Conferences/Training,5000,2004,Actual
01-10-36-4308,Subscriptions,400,2004,Actual
01-10-36-4317,Dues,600,2004,Actual
01-10-36-4510,General Plant Supplies,9014.19,2004,Actual
01-10-36-4530,Mechanical Trades Testing,8000,2004,Actual
01-10-36-4900,Fringe Benefits,164749,2004,Actual
01-10-36-4901,Pension,91277,2004,Actual
01-10-36-4913,Social Security,54325,2004,Actual
01-10-39-4000,Salaries,238277,2004,Actual
01-10-39-4739,Contingencies,0,2004,Actual
01-10-39-4900,Fringe Benefits,55280,2004,Actual
01-10-39-4901,Pension,30627,2004,Actual
01-10-39-4913,Social Security,18228,2004,Actual
01-11-11-3444,Reimb Drug Testing,-500,2004,Actual
01-11-11-4000,Salaries,169688,2004,Actual
01-11-11-4016,Temporary Wages,0,2004,Actual
01-11-11-4200,Advertising,10000,2004,Actual
01-11-11-4202,Printing,100,2004,Actual
01-11-11-4216,Contracted Services,4673.08,2004,Actual
01-11-11-4220,EAP for City Employees,12500,2004,Actual
01-11-11-4222,Consulting Services,0,2004,Actual
01-11-11-4235,Fees,25000,2004,Actual
01-11-11-4238,Physicals,2500,2004,Actual
01-11-11-4307,Conferences/Training,3116.92,2004,Actual
01-11-11-4308,Subscriptions,650,2004,Actual
01-11-11-4317,Dues,1500,2004,Actual
01-11-11-4444,Drug & Alcohol Testing,5500,2004,Actual
01-11-11-4506,Office Supplies,110,2004,Actual
01-11-11-4522,Medical/Surgical Supplies,2000,2004,Actual
01-11-11-4739,Contingencies,0,2004,Actual
01-11-11-4900,Fringe Benefits,39368,2004,Actual
01-11-11-4901,Pension,21812,2004,Actual
01-11-11-4913,Social Security,12981,2004,Actual
01-12-12-4000,Salaries,187052,2004,Actual
01-12-12-4216,Contracted Services,14000,2004,Actual
01-12-12-4224,Legal Services,58505,2004,Actual
01-12-12-4229,Cost/Liens/Etc,6188,2004,Actual
01-12-12-4307,Conferences/Training,1500,2004,Actual
01-12-12-4308,Subscriptions,2250,2004,Actual
01-12-12-4739,Contingencies,0,2004,Actual
01-12-12-4900,Fringe Benefits,43396,2004,Actual
01-12-12-4901,Pension,24043,2004,Actual
01-12-12-4913,Social Security,14309,2004,Actual
01-12-25-4216,Contracted Services,25000,2004,Actual
01-13-61-4000,Salaries,96428,2004,Actual
01-13-61-4739,Contingencies,0,2004,Actual
01-13-61-4900,Fringe Benefits,22371,2004,Actual
01-13-61-4901,Pension,19941,2004,Actual
01-13-61-4913,Social Security,7377,2004,Actual
01-13-62-4000,Salaries,332329,2004,Actual
01-13-62-4101,Light & Power,100000,2004,Actual
01-13-62-4900,Fringe Benefits,77100,2004,Actual
01-13-62-4901,Pension,42716,2004,Actual
01-13-62-4913,Social Security,25423,2004,Actual
01-13-63-4000,Salaries,251770,2004,Actual
01-13-63-4002,Longevity,770,2004,Actual
01-13-63-4006,Overtime,2000,2004,Actual
01-13-63-4016,Temporary Wages,24697,2004,Actual
01-13-63-4900,Fringe Benefits,58411,2004,Actual
01-13-63-4901,Pension,32362,2004,Actual
01-13-63-4913,Social Security,19260,2004,Actual
01-13-64-4000,Salaries,91044,2004,Actual
01-13-64-4900,Fringe Benefits,21122,2004,Actual
01-13-64-4901,Pension,11702,2004,Actual
01-13-64-4913,Social Security,6965,2004,Actual
01-14-91-3905,Employee Contrib to Med insur,-600,2004,Actual
01-14-91-4223,Audits,55000,2004,Actual
01-14-91-4230,Indirect Cost Allocation,13500,2004,Actual
01-14-91-4319,PA League of Cities,27600,2004,Actual
01-14-91-4325,Charter Review Commission,50,2004,Actual
01-14-91-4330,Dog Ordinance Expenditure,9800,2004,Actual
01-14-91-4740,Community Promotions,17500,2004,Actual
01-14-91-4741,Administrative Expenses,43000,2004,Actual
01-14-91-4756,BARTA,99261,2004,Actual
01-14-91-4764,BCTV,75000,2004,Actual
01-14-91-4770,Humane Society,48500,2004,Actual
01-14-91-4905,Hospitalization Insurance,0,2004,Actual
01-14-91-4907,Unemployment Compensation,100000,2004,Actual
01-14-91-4911,Penny Fund,7141,2004,Actual
01-14-91-4914,Other Post Employment Benefits,691021,2004,Actual
01-14-91-4923,Bond Expenses-York Cnty Bond,0,2004,Actual
01-14-91-4925,Interest Exp-York Cnty Bond,106687,2004,Actual
01-14-91-4926,York Cnty Bond-Principal,336050,2004,Actual
01-14-91-4927,Interest Exp-1988 Bond,453000,2004,Actual
01-14-91-4928,Principal-1988 Bond,200000,2004,Actual
01-14-91-4929,2002 Bond Series,80000,2004,Actual
01-14-91-4944,Principal-1992/1998 Bond,562932,2004,Actual
01-14-91-4945,Principal-1995 Bond,1375000,2004,Actual
01-14-91-4946,Interest Exp-1992/1998 Bond,1448176,2004,Actual
01-14-91-4947,Interest Exp-1995 Bond,123193,2004,Actual
01-14-91-4960,Transfer to Self Insurance Fd,1056182,2004,Actual
01-14-91-4975,Transfer to Sick Leave Pool,0,2004,Actual
01-16-00-3300,Rental - Parking Authority,-400000,2004,Actual
01-17-91-4216,Contracted Services,0,2004,Actual
01-17-91-4224,Legal Services,0,2004,Actual
01-17-91-4317,Dues,0,2004,Actual
01-17-91-4509,Postage,0,2004,Actual
01-17-91-4776,Board of Ethics,2000,2004,Actual
01-18-91-4216,Contracted Services,11088,2004,Actual
09-09-00-3410,Interest on Investments,-900,2004,Actual
09-09-00-3559,Reimb. for Equip/Supplies,-2000,2004,Actual
09-09-00-3641,User Fees,-2197555,2004,Actual
09-09-00-3671,Membership Fees,-250000,2004,Actual
09-09-00-3732,Workmens Comp Reimbursement,-20000,2004,Actual
09-09-35-4000,Salaries,1052088,2004,Actual
09-09-35-4001,Holiday Pay,56293,2004,Actual
09-09-35-4003,Uniform/Clothing Allowance,14500,2004,Actual
09-09-35-4006,Overtime,350000,2004,Actual
09-09-35-4104,Telephone,6000,2004,Actual
09-09-35-4105,Utilities,14000,2004,Actual
09-09-35-4201,Communications-Medical,12000,2004,Actual
09-09-35-4203,Rentals/Lease,78115,2004,Actual
09-09-35-4214,Collection Expense,175000,2004,Actual
09-09-35-4215,Removal of Infectious Waste,1400,2004,Actual
09-09-35-4216,Contracted Services,0,2004,Actual
09-09-35-4222,Consulting Services,6000,2004,Actual
09-09-35-4230,Indirect Cost Allocation,154127,2004,Actual
09-09-35-4235,Fees,3420,2004,Actual
09-09-35-4238,Physicals,740,2004,Actual
09-09-35-4307,Conferences/Training,475,2004,Actual
09-09-35-4308,Subscriptions,205,2004,Actual
09-09-35-4317,Dues,650,2004,Actual
09-09-35-4401,Maintenance/Repair Building,6000,2004,Actual
09-09-35-4402,Maintenance/Repair Equipment,8600,2004,Actual
09-09-35-4501,Gas,25400,2004,Actual
09-09-35-4509,Postage,125,2004,Actual
09-09-35-4510,General Plant Supplies,3000,2004,Actual
09-09-35-4522,Medical/Surgical Supplies,35000,2004,Actual
09-09-35-4525,Minor Capital Equipment,14400,2004,Actual
09-09-35-4701,Vehicle Operations,13100,2004,Actual
09-09-35-4720,Dispatching-Medical,167287,2004,Actual
09-09-35-4739,Contingencies,0,2004,Actual
09-09-35-4802,Machinery and Equipment,5300,2004,Actual
09-09-35-4900,Fringe Benefits,244084,2004,Actual
09-09-35-4913,Social Security,23146,2004,Actual
09-09-35-4971,Transfer to General Fund,0,2004,Actual
26-06-10-4802,Machinery and Equipment,0,2004,Actual
26-06-16-4802,Machinery and Equipment,0,2004,Actual
26-06-22-4802,Machinery and Equipment,0,2004,Actual
26-06-23-4802,Machinery and Equipment,175000,2004,Actual
26-07-50-4801,Building & Building Improvemen,300000,2004,Actual
26-07-51-4830,Capital-Other,0,2004,Actual
26-07-52-4830,Capital-Other,0,2004,Actual
26-07-71-4802,Machinery and Equipment,13000,2004,Actual
26-07-71-4803,Vehicles,0,2004,Actual
26-07-71-4860,Capital - Playgrounds,0,2004,Actual
26-07-74-4801,Building & Building Improvemen,110000,2004,Actual
26-07-74-4802,Machinery and Equipment,0,2004,Actual
26-07-74-4803,Vehicles,45000,2004,Actual
26-07-74-4805,Upgrades,0,2004,Actual
26-07-74-4809,Lake/Water Improvements,0,2004,Actual
26-07-74-4860,Capital - Playgrounds,0,2004,Actual
26-08-28-4803,Vehicles,29143,2004,Actual
26-08-29-4802,Machinery and Equipment,0,2004,Actual
26-08-30-4803,Vehicles,183857,2004,Actual
26-08-31-4802,Machinery and Equipment,0,2004,Actual
26-09-32-4801,Building & Building Improvemen,0,2004,Actual
26-09-32-4803,Vehicles,0,2004,Actual
26-09-34-4802,Machinery and Equipment,0,2004,Actual
26-09-35-4802,Machinery and Equipment,0,2004,Actual
26-09-35-4803,Vehicles,40000,2004,Actual
31-08-00-4803,Vehicles,49994,2004,Actual
31-08-00-4806,Computers and Processors,129405,2004,Actual
31-09-00-4510,General Plant Supplies,899,2004,Actual
32-10-00-4000,Salaries,0,2004,Actual
32-10-00-4002,Longevity,0,2004,Actual
32-10-00-4104,Telephone,0,2004,Actual
32-10-00-4200,Advertising,0,2004,Actual
32-10-00-4216,Contracted Services,0,2004,Actual
32-10-00-4222,Consulting Services,0,2004,Actual
32-10-00-4224,Legal Services,0,2004,Actual
32-10-00-4307,Conferences/Training,0,2004,Actual
32-10-00-4308,Subscriptions,0,2004,Actual
32-10-00-4317,Dues,0,2004,Actual
32-10-00-4411,Maintenance Agreements,0,2004,Actual
32-10-00-4501,Gas,0,2004,Actual
32-10-00-4506,Office Supplies,0,2004,Actual
32-10-00-4509,Postage,0,2004,Actual
32-10-00-4510,General Plant Supplies,0,2004,Actual
32-10-00-4739,Contingencies,0,2004,Actual
32-10-00-4754,CD Loan Repayment Programs,0,2004,Actual
32-10-00-4758,Home Programs,0,2004,Actual
32-10-00-4800,Land/Land Improvements,0,2004,Actual
32-10-00-4801,Building & Building Improvemen,0,2004,Actual
32-10-00-4803,Vehicles,0,2004,Actual
32-10-00-4807,Furniture and Fixtures,0,2004,Actual
32-10-00-4830,Capital-Other,0,2004,Actual
32-10-00-4904,Life Insurance,0,2004,Actual
32-10-00-4905,Hospitalization Insurance,0,2004,Actual
32-10-00-4908,Prescription Insurance,0,2004,Actual
32-10-00-4909,Dental Insurance,0,2004,Actual
32-10-00-4910,Vision Insurance,0,2004,Actual
32-10-00-4911,Penny Fund,0,2004,Actual
32-10-00-4920,Amortization,0,2004,Actual
35-07-00-3410,Interest on Investments,-20000,2004,Actual
35-07-00-3553,State Motor License Fund Grant,-1110973,2004,Actual
35-07-00-4216,Contracted Services,139240.15,2004,Actual
35-07-00-4528,Small tools,100.17,2004,Actual
35-07-00-4795,Ice & Snow Removal,96259.85,2004,Actual
35-07-00-4802,Machinery and Equipment,200000,2004,Actual
35-07-00-4804,Major Repairs to Equipment,90000,2004,Actual
35-07-00-4815,Maint/Roads & Bridges,57500,2004,Actual
35-07-24-4101,Light & Power,115000,2004,Actual
35-07-24-4102,Street Lighting,343973,2004,Actual
35-07-24-4408,Maint/Repair Traffic Signals,14000,2004,Actual
35-07-24-4409,Maint/Repair Street Lights,45000,2004,Actual
35-07-24-4412,Maint/Repair Signs & Paint,29899.83,2004,Actual
35-07-24-4802,Machinery and Equipment,0,2004,Actual
35-07-52-4802,Machinery and Equipment,0,2004,Actual
35-07-52-4803,Vehicles,0,2004,Actual
50-15-00-3410,Interest on Investments,0,2004,Actual
50-15-00-3450,Lease Payment Fr Water Authori,-10992000,2004,Actual
50-15-00-3954,Meter Reading,-298000,2004,Actual
50-15-81-4002,Longevity,910,2004,Actual
50-15-81-4006,Overtime,5000,2004,Actual
50-15-81-4012,Salaries-Laboratory,0,2004,Actual
50-15-81-4015,Salaries - Engineering,118085,2004,Actual
50-15-81-4016,Temporary Wages,0,2004,Actual
50-15-81-4017,Salaries Office Employees,65494,2004,Actual
50-15-81-4018,Salaries-Meter Readers,37202,2004,Actual
50-15-81-4200,Advertising,3680,2004,Actual
50-15-81-4216,Contracted Services,16250,2004,Actual
50-15-81-4222,Consulting Services,0,2004,Actual
50-15-81-4229,Cost/Liens/Etc,1000,2004,Actual
50-15-81-4307,Conferences/Training,700,2004,Actual
50-15-81-4308,Subscriptions,135,2004,Actual
50-15-81-4317,Dues,2500,2004,Actual
50-15-81-4406,General Repairs,500,2004,Actual
50-15-81-4504,Uniforms,6750,2004,Actual
50-15-81-4506,Office Supplies,2070,2004,Actual
50-15-81-4509,Postage,12500,2004,Actual
50-15-81-4515,Refunds,6000,2004,Actual
50-15-81-4525,Minor Capital Equipment,1500,2004,Actual
50-15-81-4700,Travel Expense,0,2004,Actual
50-15-81-4739,Contingencies,5475,2004,Actual
50-15-81-4802,Machinery and Equipment,4340,2004,Actual
50-15-81-4900,Fringe Benefits,57403,2004,Actual
50-15-81-4901,Pension,28378,2004,Actual
50-15-81-4913,Social Security,16890,2004,Actual
50-15-83-4000,Salaries,379191,2004,Actual
50-15-83-4006,Overtime,15000,2004,Actual
50-15-83-4100,Fuel,8000,2004,Actual
50-15-83-4101,Light & Power,6700,2004,Actual
50-15-83-4104,Telephone,2000,2004,Actual
50-15-83-4216,Contracted Services,2950,2004,Actual
50-15-83-4235,Fees,3775,2004,Actual
50-15-83-4406,General Repairs,40600,2004,Actual
50-15-83-4501,Gas,14000,2004,Actual
50-15-83-4510,General Plant Supplies,10000,2004,Actual
50-15-83-4525,Minor Capital Equipment,1150,2004,Actual
50-15-83-4800,Land/Land Improvements,6000,2004,Actual
50-15-83-4900,Fringe Benefits,98590,2004,Actual
50-15-83-4901,Pension,48740,2004,Actual
50-15-83-4913,Social Security,30156,2004,Actual
50-15-84-4000,Salaries,526029,2004,Actual
50-15-84-4002,Longevity,700,2004,Actual
50-15-84-4006,Overtime,130000,2004,Actual
50-15-84-4012,Salaries-Laboratory,68866,2004,Actual
50-15-84-4019,Overtime-Laboratory,15000,2004,Actual
50-15-84-4100,Fuel,96000,2004,Actual
50-15-84-4216,Contracted Services,183900,2004,Actual
50-15-84-4406,General Repairs,65000,2004,Actual
50-15-84-4506,Office Supplies,21500,2004,Actual
50-15-84-4510,General Plant Supplies,47000,2004,Actual
50-15-84-4513,Chemical Supplies,615000,2004,Actual
50-15-84-4525,Minor Capital Equipment,6000,2004,Actual
50-15-84-4900,Fringe Benefits,154673,2004,Actual
50-15-84-4901,Pension,76466,2004,Actual
50-15-84-4913,Social Security,56656,2004,Actual
50-15-85-4101,Light & Power,358900,2004,Actual
50-15-85-4104,Telephone,24100,2004,Actual
50-15-86-4000,Salaries,992855,2004,Actual
50-15-86-4006,Overtime,60000,2004,Actual
50-15-86-4100,Fuel,14200,2004,Actual
50-15-86-4101,Light & Power,51000,2004,Actual
50-15-86-4104,Telephone,14000,2004,Actual
50-15-86-4216,Contracted Services,45000,2004,Actual
50-15-86-4400,Maintenance Communications,9100,2004,Actual
50-15-86-4402,Maintenance/Repair Equipment,44500,2004,Actual
50-15-86-4405,Maintenance Supplies,3500,2004,Actual
50-15-86-4406,General Repairs,30000,2004,Actual
50-15-86-4500,Vehicle Supplies,36000,2004,Actual
50-15-86-4501,Gas,29800,2004,Actual
50-15-86-4510,General Plant Supplies,90000,2004,Actual
50-15-86-4525,Minor Capital Equipment,3000,2004,Actual
50-15-86-4829,Extensions & Improvements,63500,2004,Actual
50-15-86-4900,Fringe Benefits,258142,2004,Actual
50-15-86-4901,Pension,127618,2004,Actual
50-15-86-4913,Social Security,80543,2004,Actual
50-15-96-4939,Interest/Pennvest Loan,98496,2004,Actual
50-15-96-4944,Principal-1992/1998 Bond,746570,2004,Actual
50-15-96-4946,Interest Exp-1992/1998 Bond,362935,2004,Actual
50-15-96-4951,Principal-Pennvest Loan,1245479,2004,Actual
50-15-96-4960,Transfer to Self Insurance Fd,630000,2004,Actual
50-15-96-4971,Transfer to General Fund,2534234,2004,Actual
50-15-96-4976,Indirect Cost Reimbursement,570000,2004,Actual
52-11-00-3410,Interest on Investments,-185000,2004,Actual
52-11-00-3732,Workmens Comp Reimbursement,-79444,2004,Actual
52-11-00-3750,Damages Recovered,-141018,2004,Actual
52-11-00-3901,Transfer from General Fund,-1056182,2004,Actual
52-11-00-3950,Transfer - Water Fund,-630000,2004,Actual
52-11-00-3954,Transfer from Sewer Fund,-630000,2004,Actual
52-11-00-4000,Salaries,77343,2004,Actual
52-11-00-4216,Contracted Services,1986,2004,Actual
52-11-00-4222,Consulting Services,6975,2004,Actual
52-11-00-4235,Fees,17890,2004,Actual
52-11-00-4307,Conferences/Training,0,2004,Actual
52-11-00-4317,Dues,435,2004,Actual
52-11-00-4510,General Plant Supplies,633,2004,Actual
52-11-00-4749,incurred Liability Claims,206600,2004,Actual
52-11-00-4752,Premium Payments,550244,2004,Actual
52-11-00-4753,Other Insurance Premium,63126,2004,Actual
52-11-00-4900,Fringe Benefits,20109,2004,Actual
52-11-00-4901,Pension,9941,2004,Actual
52-11-00-4913,Social Security,5917,2004,Actual
52-11-27-4202,Printing,0,2004,Actual
52-11-27-4216,Contracted Services,3390,2004,Actual
52-11-27-4222,Consulting Services,84956.21,2004,Actual
52-11-27-4235,Fees,61601,2004,Actual
52-11-27-4307,Conferences/Training,30461.79,2004,Actual
52-11-27-4308,Subscriptions,1410,2004,Actual
52-11-27-4320,Bonding Insurance,37447,2004,Actual
52-11-27-4510,General Plant Supplies,49000,2004,Actual
52-11-27-4522,Medical/Surgical Supplies,1573,2004,Actual
52-11-27-4739,Contingencies,0,2004,Actual
52-11-27-4750,W/C Claims-indemnity,597999,2004,Actual
52-11-27-4751,W/C Claims-Medical,394265,2004,Actual
52-11-27-4752,Premium Payments,94862,2004,Actual
52-11-27-4802,Machinery and Equipment,50158,2004,Actual
52-12-12-4224,Legal Services,311797,2004,Actual
52-12-12-4225,Legal Services - W/C,41525,2004,Actual
54-07-00-3410,Interest on Investments,-50000,2004,Actual
54-07-00-3554,Grants and Gifts,0,2004,Actual
54-07-00-3618,Interest and Penalty,-200000,2004,Actual
54-07-00-3622,Fines,-25000,2004,Actual
54-07-00-3639,Miscellaneous Revenue-Donation,0,2004,Actual
54-07-00-3680,General Consumer,-9900000,2004,Actual
54-07-00-3682,Sewer Rent Treatment,-5700000,2004,Actual
54-07-00-3683,Industrial Waste,-1200000,2004,Actual
54-07-00-3686,User Application Fee,-2500,2004,Actual
54-07-00-3688,Industrial Waste Testing,-80000,2004,Actual
54-07-00-3689,Revenue Fee,-4000,2004,Actual
54-07-00-3928,Transfer from Sewer Bond Fund,0,2004,Actual
54-07-00-4925,Interest Exp-York Cnty Bond,0,2004,Actual
54-07-43-4000,Salaries,510240,2004,Actual
54-07-43-4006,Overtime,95000,2004,Actual
54-07-43-4016,Temporary Wages,10000,2004,Actual
54-07-43-4104,Telephone,6000,2004,Actual
54-07-43-4200,Advertising,500,2004,Actual
54-07-43-4203,Rentals/Lease,1000,2004,Actual
54-07-43-4216,Contracted Services,540750,2004,Actual
54-07-43-4307,Conferences/Training,2500,2004,Actual
54-07-43-4500,Vehicle Supplies,35000,2004,Actual
54-07-43-4504,Uniforms,4000,2004,Actual
54-07-43-4510,General Plant Supplies,4000,2004,Actual
54-07-43-4516,Sewer Repair Supplies,65000,2004,Actual
54-07-43-4523,Hiway Maint/Repair,20000,2004,Actual
54-07-43-4900,Fringe Benefits,132662,2004,Actual
54-07-43-4901,Pension,63563,2004,Actual
54-07-43-4913,Social Security,47066,2004,Actual
54-07-44-4000,Salaries,1805855,2004,Actual
54-07-44-4002,Longevity,1330,2004,Actual
54-07-44-4006,Overtime,291500,2004,Actual
54-07-44-4016,Temporary Wages,20000,2004,Actual
54-07-44-4101,Light & Power,815000,2004,Actual
54-07-44-4104,Telephone,5000,2004,Actual
54-07-44-4107,Water Services,120000,2004,Actual
54-07-44-4108,Lab Services,55000,2004,Actual
54-07-44-4200,Advertising,2900,2004,Actual
54-07-44-4202,Printing,2000,2004,Actual
54-07-44-4216,Contracted Services,56000,2004,Actual
54-07-44-4222,Consulting Services,594000,2004,Actual
54-07-44-4235,Fees,1160000,2004,Actual
54-07-44-4307,Conferences/Training,7500,2004,Actual
54-07-44-4308,Subscriptions,2500,2004,Actual
54-07-44-4317,Dues,6570,2004,Actual
54-07-44-4406,General Repairs,654500,2004,Actual
54-07-44-4500,Vehicle Supplies,15000,2004,Actual
54-07-44-4504,Uniforms,10000,2004,Actual
54-07-44-4508,Lab Supplies,165000,2004,Actual
54-07-44-4510,General Plant Supplies,20000,2004,Actual
54-07-44-4513,Chemical Supplies,700000,2004,Actual
54-07-44-4522,Medical/Surgical Supplies,2750,2004,Actual
54-07-44-4525,Minor Capital Equipment,275000,2004,Actual
54-07-44-4739,Contingencies,0,2004,Actual
54-07-44-4900,Fringe Benefits,469574,2004,Actual
54-07-44-4901,Pension,229138,2004,Actual
54-07-44-4913,Social Security,162095,2004,Actual
54-07-91-4101,Light & Power,0,2004,Actual
54-07-91-4738,Depreciation,1800000,2004,Actual
54-07-91-4790,Transfer to Water Fund,140121,2004,Actual
54-07-91-4946,Interest Exp-1992/1998 Bond,692914,2004,Actual
54-07-91-4948,York County Bond,713982,2004,Actual
54-07-91-4960,Transfer to Self Insurance Fd,630000,2004,Actual
54-07-91-4961,Transfer to Water Fund,0,2004,Actual
54-07-91-4971,Transfer to General Fund,6000000,2004,Actual
54-07-91-4976,Indirect Cost Reimbursement,416846,2004,Actual
54-12-12-4224,Legal Services,60000,2004,Actual
56-07-00-3554,Grants and Gifts,-136347,2004,Actual
56-07-00-3641,User Fees,-660000,2004,Actual
56-07-00-3725,902 Grant (Education),-12600,2004,Actual
56-07-00-3726,902 Grant (Containers),-9000,2004,Actual
56-07-00-3727,Grant (Trucks),0,2004,Actual
56-07-46-4000,Salaries,93011,2004,Actual
56-07-46-4016,Temporary Wages,30000,2004,Actual
56-07-46-4200,Advertising,4000,2004,Actual
56-07-46-4202,Printing,10000,2004,Actual
56-07-46-4214,Collection Expense,576255,2004,Actual
56-07-46-4216,Contracted Services,150000,2004,Actual
56-07-46-4232,Adopt-A-Spot Program,20000,2004,Actual
56-07-46-4307,Conferences/Training,675,2004,Actual
56-07-46-4308,Subscriptions,200,2004,Actual
56-07-46-4506,Office Supplies,500,2004,Actual
56-07-46-4509,Postage,16000,2004,Actual
56-07-46-4510,General Plant Supplies,10000,2004,Actual
56-07-46-4666,Reading Beautification,10000,2004,Actual
56-07-46-4735,Indirect Cost,93402,2004,Actual
56-07-46-4739,Contingencies,1347,2004,Actual
56-07-46-4774,Reading DID,0,2004,Actual
56-07-46-4900,Fringe Benefits,24183,2004,Actual
56-07-46-4901,Pension,11905,2004,Actual
56-07-46-4913,Social Security,7441,2004,Actual
56-07-47-3231,Trash Removal Revenue,-1804000,2004,Actual
56-07-47-3234,Trash Revenue-Pilot Program,0,2004,Actual
56-07-47-3634,Certifications,-57000,2004,Actual
56-07-47-4200,Advertising,1000,2004,Actual
56-07-47-4216,Contracted Services,1848563,2004,Actual
56-07-47-4234,Pilot Program,0,2004,Actual
56-07-47-4509,Postage,10000,2004,Actual
01-00-00-3009,Discount and Allowance,140000,2005,Actual
01-00-00-3010,Property Tax Current,-13359164.66,2005,Actual
01-00-00-3020,Property Tax Prior,-1358609.82,2005,Actual
01-00-00-3021,Penalty & Interest,-300000,2005,Actual
01-00-00-3022,Property Tax 3/4% Tax,0,2005,Actual
01-00-00-3110,Per Capita Tax,-100000,2005,Actual
01-00-00-3111,Per Capita Tax Prior,-24000,2005,Actual
01-00-00-3120,Business Privilege Tax,-1290000,2005,Actual
01-00-00-3121,Bus Priv Tax -  Prior Year,-150000,2005,Actual
01-00-00-3130,Real Estate Transfer Tax,-2258917.72,2005,Actual
01-00-00-3140,Earned income Tax,-7836652.47,2005,Actual
